"Word","Length","Freq_HAL","Log_Freq_HAL"
"regrettable","11","249","5.52"
"regrettably","11","454","6.12"
"regretted","9","786","6.67"
"reground","8","8","2.08"
"regroup","7","200","5.30"
"regrouped","9","73","4.29"
"regrouping","10","72","4.28"
"regular","7","47458","10.77"
"regularity","10","652","6.48"
"regularize","10","16","2.77"
"regularly","9","16940","9.74"
"regulars","8","1938","7.57"
"regulate","8","3419","8.14"
"regulated","9","3446","8.14"
"regulating","10","1165","7.06"
"regulation","10","8165","9.01"
"regulations","11","11089","9.31"
"regulative","10","55","4.01"
"regulator","9","2030","7.62"
"regulatory","10","3570","8.18"
"regurgitate","11","176","5.17"
"regurgitation","13","126","4.84"
"rehabilitate","12","247","5.51"
"rehabilitating","14","105","4.65"
"rehabilitation","14","1896","7.55"
"rehabilitations","15","3","1.10"
"reharmonization","15","0","0.00"
"rehash","6","569","6.34"
"rehear","6","1","0.00"
"rehearsal","9","1113","7.01"
"rehearing","9","33","3.50"
"rehearsed","9","222","5.40"
"rehearsing","10","174","5.16"
"rehouse","7","0","0.00"
"Reich","5","2712","7.91"
"reify","5","25","3.22"
"reign","5","2828","7.95"
"reigned","7","235","5.46"
"reigning","8","284","5.65"
"reigns","6","636","6.46"
"Reilly","6","1057","6.96"
"reimburse","9","634","6.45"
"reimburseable","13","1","0.00"
"reimbursed","10","858","6.75"
"reimbursement","13","1821","7.51"
"reimbursements","14","88","4.48"
"reimburses","10","18","2.89"
"rein","4","791","6.67"
"rejoin","6","479","6.17"
"rejoinder","9","208","5.34"
"rejoining","9","82","4.41"
"reincarnate","11","136","4.91"
"reincarnated","12","372","5.92"
"reincarnation","13","3509","8.16"
"reindeer","8","416","6.03"
"reined","6","35","3.56"
"reinforce","9","1566","7.36"
"reinforced","10","1512","7.32"
"reinforcement","13","931","6.84"
"reinforcements","14","547","6.30"
"reinforces","10","568","6.34"
"reinforcing","11","594","6.39"
"reins","5","482","6.18"
"reinstall","9","3724","8.22"
"reinstate","9","264","5.58"
"reinstated","10","324","5.78"
"reinstatement","13","165","5.11"
"reinstitution","13","24","3.18"
"reinsure","8","0","0.00"
"reintroduces","12","23","3.14"
"reissue","7","1189","7.08"
"reinsurance","11","121","4.80"
"reinterpret","11","84","4.43"
"reinterpreted","13","76","4.33"
"reinvestigation","15","10","2.30"
"reinvigoration","14","12","2.48"
"reiterate","9","1012","6.92"
"reiterated","10","608","6.41"
"reiterates","10","127","4.84"
"reiterating","11","202","5.31"
"reiteration","11","68","4.22"
"reject","6","7470","8.92"
"rejected","8","8830","9.09"
"rejecting","9","1643","7.40"
"rejection","9","3387","8.13"
"rejections","10","737","6.60"
"rejects","7","1711","7.44"
"rejoice","7","878","6.78"
"rejoiced","8","154","5.04"
"rejoices","8","152","5.02"
"rejoicing","9","276","5.62"
"rejuvenate","10","55","4.01"
"rejuvenation","12","99","4.60"
"rekindle","8","137","4.92"
"rekindling","10","32","3.47"
"relaid","6","11","2.40"
"relapse","7","402","6.00"
"relate","6","7453","8.92"
"related","7","77163","11.25"
"relatedness","11","80","4.38"
"relates","7","3501","8.16"
"relating","8","8251","9.02"
"relation","8","8066","9.00"
"relational","10","4979","8.51"
"relations","9","15931","9.68"
"relationship","12","33496","10.42"
"relationships","13","14022","9.55"
"relative","8","18302","9.81"
"relatively","10","22473","10.02"
"relatives","9","6545","8.79"
"relax","5","5905","8.68"
"relativism","10","483","6.18"
"relativist","10","129","4.86"
"relativity","10","4177","8.34"
"relaxation","10","1658","7.41"
"relativistic","12","988","6.90"
"relaxed","7","4399","8.39"
"relaxes","7","215","5.37"
"relaxing","8","1739","7.46"
"relay","5","6898","8.84"
"relayed","7","669","6.51"
"relaying","8","302","5.71"
"relearns","8","0","0.00"
"release","7","76651","11.25"
"released","8","45360","10.72"
"releases","8","16130","9.69"
"releasing","9","4912","8.50"
"relegate","8","134","4.90"
"relegated","9","746","6.61"
"relent","6","124","4.82"
"relented","8","196","5.28"
"relentless","10","1623","7.39"
"relentlessly","12","489","6.19"
"relentlessness","14","10","2.30"
"relevance","9","3565","8.18"
"relevancy","9","129","4.86"
"relevant","8","25732","10.16"
"reliable","8","16975","9.74"
"reliably","8","2926","7.98"
"reliance","8","1473","7.30"
"reliant","7","497","6.21"
"relic","5","4915","8.50"
"relict","6","23","3.14"
"relied","6","1604","7.38"
"relief","6","9054","9.11"
"relies","6","2431","7.80"
"relieve","7","2005","7.60"
"relieved","8","1866","7.53"
"relieves","8","300","5.70"
"relieving","9","469","6.15"
"religion","8","40955","10.62"
"religions","9","8848","9.09"
"religious","9","37776","10.54"
"religiously","11","955","6.86"
"religiousness","13","13","2.56"
"reline","6","10","2.30"
"relinquish","10","462","6.14"
"relinquished","12","188","5.24"
"relinquishing","13","174","5.16"
"relish","6","769","6.65"
"relishes","8","54","3.99"
"relishing","9","144","4.97"
"relive","6","308","5.73"
"relives","7","30","3.40"
"reliving","8","168","5.12"
"reload","6","2268","7.73"
"reloaded","8","494","6.20"
"relocate","8","2261","7.72"
"relocation","10","7733","8.95"
"reluctance","10","956","6.86"
"reluctant","9","3047","8.02"
"rely","4","8349","9.03"
"relying","7","2519","7.83"
"reluctantly","11","1412","7.25"
"remade","6","219","5.39"
"remain","6","24587","10.11"
"remainder","9","3292","8.10"
"remained","8","7721","8.95"
"remaining","9","13693","9.52"
"remains","7","17899","9.79"
"remake","6","1492","7.31"
"remaking","8","145","4.98"
"remand","6","139","4.93"
"remanded","8","169","5.13"
"remanding","9","6","1.79"
"remark","6","5298","8.58"
"remarkable","10","4257","8.36"
"remarkably","10","2469","7.81"
"remarked","8","1625","7.39"
"remarking","9","183","5.21"
"remarks","7","7543","8.93"
"remarriage","10","73","4.29"
"remarried","9","272","5.61"
"remarry","7","102","4.62"
"remarrying","10","13","2.56"
"Rembrandt","9","162","5.09"
"Rembrandt's","11","5","1.61"
"remedial","8","702","6.55"
"remedies","8","1580","7.37"
"remedy","6","3306","8.10"
"remember","8","142627","11.87"
"remembered","10","6677","8.81"
"remembering","11","3356","8.12"
"remembers","9","2635","7.88"
"remembrance","11","638","6.46"
"remembrances","12","95","4.55"
"remilitarize","12","5","1.61"
"remind","6","7594","8.94"
"reminded","8","5105","8.54"
"reminder","8","3544","8.17"
"reminders","9","742","6.61"
"reminding","9","1452","7.28"
"reminds","7","6964","8.85"
"reminisce","9","137","4.92"
"reminisced","10","44","3.78"
"reminiscence","12","85","4.44"
"reminiscences","13","183","5.21"
"reminiscent","11","1378","7.23"
"reminisces","10","53","3.97"
"reminiscing","11","210","5.35"
"remiss","6","163","5.09"
"remission","9","649","6.48"
"remissions","10","56","4.03"
"remitted","8","62","4.13"
"remnant","7","531","6.27"
"remnants","8","903","6.81"
"remodel","7","96","4.56"
"remodeled","9","182","5.20"
"remodeling","10","185","5.22"
"remolding","9","6","1.79"
"remonstrance","12","25","3.22"
"remonstrated","12","12","2.48"
"remorse","7","736","6.60"
"remorseful","10","64","4.16"
"remonstrate","11","20","3.00"
"remorseless","11","39","3.66"
"remote","6","27308","10.21"
"remotely","8","4273","8.36"
"remoteness","10","55","4.01"
"remoter","7","18","2.89"
"remotest","8","125","4.83"
"remount","7","239","5.48"
"remounting","10","67","4.20"
"removable","9","2769","7.93"
"removal","7","5673","8.64"
"remove","6","43954","10.69"
"removed","7","34595","10.45"
"remover","7","494","6.20"
"removes","7","2741","7.92"
"removing","8","9709","9.18"
"remunerate","10","4","1.39"
"renewal","7","4425","8.40"
"renewed","7","2334","7.76"
"renewing","8","485","6.18"
"renews","6","101","4.62"
"remuneration","12","336","5.82"
"remunerative","12","51","3.93"
"Renaissance","11","3235","8.08"
"renal","5","567","6.34"
"rename","6","3885","8.26"
"renamed","7","2459","7.81"
"renascent","9","0","0.00"
"renaturation","12","4","1.39"
"rend","4","234","5.46"
"render","6","4183","8.34"
"rendered","8","3534","8.17"
"rendering","9","5928","8.69"
"renderings","10","319","5.77"
"renders","7","1021","6.93"
"rendezvous","10","771","6.65"
"rendition","9","1157","7.05"
"renditions","10","277","5.62"
"renegade","8","2210","7.70"
"renege","6","93","4.53"
"renew","5","1570","7.36"
"renewable","9","912","6.82"
"Reno","4","3080","8.03"
"renounce","8","775","6.65"
"renouncing","10","133","4.89"
"renovate","8","123","4.81"
"renovated","9","357","5.88"
"renovation","10","498","6.21"
"renown","6","321","5.77"
"renowned","8","1228","7.11"
"rent","4","10739","9.28"
"rental","6","5416","8.60"
"rentals","7","1456","7.28"
"rented","6","2858","7.96"
"renting","7","1730","7.46"
"rents","5","802","6.69"
"renunciation","12","273","5.61"
"renunciations","13","9","2.20"
"reopen","6","782","6.66"
"reopened","8","380","5.94"
"reopening","9","243","5.49"
"reorder","7","278","5.63"
"reorient","8","57","4.04"
"reorganization","14","1257","7.14"
"reorganizations","15","119","4.78"
"reorganize","10","446","6.10"
"reorganized","11","480","6.17"
"reorganizing","12","260","5.56"
"reorientation","13","40","3.69"
"reoriented","10","16","2.77"
"rep","3","11138","9.32"
"repaid","6","387","5.96"
"repaint","7","391","5.97"
"repainting","10","128","4.85"
"repair","6","13501","9.51"
"repaired","8","2165","7.68"
"repairing","9","1135","7.03"
"repairmen","9","84","4.43"
"repairs","7","2887","7.97"
"reparable","9","9","2.20"
"rebel","5","8135","9.00"
"rebelled","8","293","5.68"
"rebelling","9","183","5.21"
"reparation","10","128","4.85"
"repast","6","64","4.16"
"repatriate","10","69","4.23"
"repatriation","12","351","5.86"
"repay","5","926","6.83"
"repayable","9","11","2.40"
"repayment","9","500","6.21"
"repeal","6","2280","7.73"
"repealed","8","906","6.81"
"repeat","6","22045","10.00"
"repeated","8","10161","9.23"
"repeatedly","10","8060","8.99"
"repeater","8","1691","7.43"
"reassure","8","678","6.52"
"reassured","9","457","6.12"
"reassuring","10","740","6.61"
"reassuringly","12","95","4.55"
"reawaken","8","47","3.85"
"rebate","6","1217","7.10"
"Rebecca","7","3572","8.18"
"rebellion","9","2586","7.86"
"rebellions","10","175","5.16"
"rebellious","10","606","6.41"
"rebelliously","12","12","2.48"
"rebels","6","2875","7.96"
"rebind","6","35","3.56"
"rebirth","7","2644","7.88"
"reborn","6","844","6.74"
"rebound","7","1240","7.12"
"rebuff","6","76","4.33"
"rebuffed","8","189","5.24"
"rebuild","7","4261","8.36"
"rebuilding","10","2033","7.62"
"rebuilds","8","296","5.69"
"rebuilt","7","2510","7.83"
"rebuke","6","333","5.81"
"rebuked","7","200","5.30"
"rebut","5","446","6.10"
"rebuttal","8","1608","7.38"
"rebutted","8","215","5.37"
"recall","6","38627","10.56"
"recalcitrance","13","19","2.94"
"recalcitrant","12","221","5.40"
"recalculated","12","88","4.48"
"recalculation","13","65","4.17"
"recalled","8","2175","7.68"
"recalling","9","804","6.69"
"recalls","7","1103","7.01"
"recant","6","176","5.17"
"recantation","11","24","3.18"
"recanted","8","158","5.06"
"recap","5","705","6.56"
"recapitulate","12","43","3.76"
"recapitulation","14","43","3.76"
"recapture","9","324","5.78"
"recaptured","10","105","4.65"
"recast","6","299","5.70"
"recede","6","132","4.88"
"receded","7","127","4.84"
"receding","8","248","5.51"
"receipt","7","6255","8.74"
"receipts","8","1386","7.23"
"receive","7","67666","11.12"
"received","8","60413","11.01"
"receiver","8","7941","8.98"
"receivers","9","2523","7.83"
"receives","8","6113","8.72"
"receiving","9","16392","9.70"
"recent","6","61027","11.02"
"recently","8","73587","11.21"
"receptacle","10","390","5.97"
"reception","9","5806","8.67"
"receptionist","12","678","6.52"
"receptionist's","14","19","2.94"
"receptions","10","248","5.51"
"receptive","9","1036","6.94"
"recess","6","511","6.24"
"recessed","8","272","5.61"
"recession","9","2223","7.71"
"recessive","9","581","6.36"
"recharge","8","835","6.73"
"rechartering","12","9","2.20"
"recheck","7","255","5.54"
"recidivism","10","149","5.00"
"recipe","6","10197","9.23"
"recipes","7","6955","8.85"
"recipient","9","4373","8.38"
"recipients","10","3386","8.13"
"reciprocal","10","815","6.70"
"reciprocate","11","314","5.75"
"reciprocity","11","255","5.54"
"recital","7","525","6.26"
"recitals","8","100","4.61"
"recitation","10","322","5.77"
"recitative","10","18","2.89"
"recite","6","771","6.65"
"recited","7","395","5.98"
"reciting","8","428","6.06"
"reckless","8","1123","7.02"
"recklessness","12","89","4.49"
"reckon","6","1691","7.43"
"reckoned","8","708","6.56"
"reckoning","9","504","6.22"
"reckonings","10","32","3.47"
"reckons","7","116","4.75"
"reclaim","7","851","6.75"
"reclaimed","9","255","5.54"
"reclamation","11","610","6.41"
"reclassified","12","63","4.14"
"reclassification","16","44","3.78"
"recline","7","116","4.75"
"reclining","9","175","5.16"
"recluse","7","219","5.39"
"recognition","11","11207","9.32"
"recognizable","12","1124","7.02"
"recognizance","12","34","3.53"
"recognize","9","21023","9.95"
"recognized","10","16583","9.72"
"recognizes","10","3334","8.11"
"recoil","6","1127","7.03"
"recoiled","8","100","4.61"
"recognizing","11","2490","7.82"
"recollect","9","301","5.71"
"recollected","11","22","3.09"
"recollection","12","1560","7.35"
"recollections","13","443","6.09"
"recommence","10","31","3.43"
"recommend","9","37525","10.53"
"reconvened","10","33","3.50"
"reconvenes","10","14","2.64"
"recommendation","14","6088","8.71"
"recommendations","15","11843","9.38"
"recommended","11","22788","10.03"
"recommending","12","1689","7.43"
"recommends","10","3163","8.06"
"recompense","10","219","5.39"
"reconcile","9","1178","7.07"
"reconciled","10","488","6.19"
"reconciles","10","85","4.44"
"recording","9","20808","9.94"
"recordings","10","8926","9.10"
"reconciliation","14","1071","6.98"
"reconciling","11","267","5.59"
"recondition","11","44","3.78"
"reconditioning","14","66","4.19"
"reconnaissance","14","680","6.52"
"reconsider","10","1756","7.47"
"reconsideration","15","208","5.34"
"reconsidered","12","336","5.82"
"reconstitute","12","92","4.52"
"reconstruct","11","800","6.68"
"reconstructs","12","23","3.14"
"recontamination","15","18","2.89"
"reconstructed","13","569","6.34"
"reconstruction","14","4084","8.31"
"reconverting","12","6","1.79"
"recopied","8","34","3.53"
"record","6","61996","11.03"
"recorded","8","16695","9.72"
"recorder","8","4158","8.33"
"records","7","45965","10.74"
"recount","7","337","5.82"
"recounted","9","333","5.81"
"recounting","10","222","5.40"
"recounts","8","322","5.77"
"recoup","6","406","6.01"
"recouped","8","81","4.39"
"recourse","8","1831","7.51"
"recover","7","6651","8.80"
"recoverable","11","274","5.61"
"recovered","9","4255","8.36"
"recovering","10","2523","7.83"
"recovers","8","570","6.35"
"recovery","8","9992","9.21"
"recreate","8","1604","7.38"
"recreated","9","461","6.13"
"recreates","9","136","4.91"
"recreating","10","396","5.98"
"recruit","7","3052","8.02"
"recruited","9","1450","7.28"
"recruiter","9","4847","8.49"
"recreation","10","2910","7.98"
"recreational","12","3481","8.16"
"recriminate","11","2","0.69"
"recrimination","13","42","3.74"
"recriminations","14","70","4.25"
"recruiting","10","11468","9.35"
"recruitment","11","1874","7.54"
"recruits","8","1524","7.33"
"rectal","6","403","6.00"
"rectangle","9","1684","7.43"
"rectangular","11","1421","7.26"
"rectification","13","178","5.18"
"rectifier","9","613","6.42"
"rectify","7","685","6.53"
"rectilinear","11","101","4.62"
"rectitude","9","75","4.32"
"rector","6","665","6.50"
"rector's","8","19","2.94"
"rectory","7","107","4.67"
"rectum","6","862","6.76"
"recumbent","9","232","5.45"
"recuperate","10","131","4.88"
"recuperating","12","82","4.41"
"recuperation","12","88","4.48"
"recur","5","232","5.45"
"recurred","8","87","4.47"
"recurrence","10","325","5.78"
"recurrent","9","782","6.66"
"recurrently","11","22","3.09"
"recurring","9","1789","7.49"
"recursive","9","1480","7.30"
"recusant","8","2","0.69"
"recycle","7","1094","7.00"
"red","3","103819","11.55"
"redactions","10","19","2.94"
"redbirds","8","26","3.26"
"redbreast","9","3","1.10"
"redcoat","7","17","2.83"
"redcoats","8","30","3.40"
"redden","6","158","5.06"
"reddened","8","194","5.27"
"redder","6","124","4.82"
"redding","7","547","6.30"
"reddish","7","526","6.27"
"redecorate","10","74","4.30"
"redecorated","11","44","3.78"
"redecorating","12","24","3.18"
"redecoration","12","3","1.10"
"rededicate","10","13","2.56"
"redeem","6","662","6.50"
"redeemed","8","684","6.53"
"redeeming","9","831","6.72"
"redefined","9","577","6.36"
"redefinition","12","311","5.74"
"redemption","10","2620","7.87"
"redemptive","10","107","4.67"
"redeploy","8","24","3.18"
"redevelopment","13","126","4.84"
"redhead","7","668","6.50"
"redheaded","9","380","5.94"
"redheads","8","294","5.68"
"redirect","8","1989","7.60"
"redirecting","11","551","6.31"
"rediscover","10","138","4.93"
"rediscovering","13","111","4.71"
"rediscovers","11","19","2.94"
"redistribute","12","1762","7.47"
"redistributed","13","1158","7.05"
"redistribution","14","2257","7.72"
"redistricting","13","12","2.48"
"redneck","7","950","6.86"
"redo","4","1061","6.97"
"redolent","8","38","3.64"
"redouble","8","162","5.09"
"redoubled","9","68","4.22"
"redoubt","7","20","3.00"
"redress","7","976","6.88"
"redressed","9","70","4.25"
"reds","4","1723","7.45"
"red's","5","177","5.18"
"redskin","7","66","4.19"
"reduce","6","21540","9.98"
"reduced","7","15171","9.63"
"reducer","7","166","5.11"
"reduces","7","4297","8.37"
"reducing","8","7030","8.86"
"reduction","9","8325","9.03"
"reductions","10","1410","7.25"
"redundancy","10","1367","7.22"
"redundant","9","3338","8.11"
"reduplicate","11","1","0.00"
"redwing","7","61","4.11"
"redwood","7","1917","7.56"
"redwoods","8","392","5.97"
"reed","4","6652","8.80"
"reeducate","9","26","3.26"
"reeducation","11","80","4.38"
"reedy","5","124","4.82"
"reef","4","2981","8.00"
"reefer","6","306","5.72"
"reefs","5","531","6.27"
"reek","4","160","5.08"
"reeked","6","92","4.52"
"reeking","7","93","4.53"
"reel","4","2752","7.92"
"reelected","9","199","5.29"
"reelection","10","438","6.08"
"reeled","6","125","4.83"
"reeling","7","400","5.99"
"reels","5","1376","7.23"
"reemerged","9","42","3.74"
"reenact","7","22","3.09"
"reentered","9","124","4.82"
"reestablish","11","306","5.72"
"reevaluation","12","57","4.04"
"reexamination","13","86","4.45"
"reexamine","9","145","4.98"
"ref","3","5665","8.64"
"reface","6","5","1.61"
"refashion","9","13","2.56"
"refectories","11","0","0.00"
"refer","5","26546","10.19"
"referee","7","2297","7.74"
"reference","9","59999","11.00"
"references","10","35569","10.48"
"referendum","10","1864","7.53"
"referent","8","188","5.24"
"referential","11","319","5.77"
"referral","8","2637","7.88"
"referrals","9","1471","7.29"
"referred","8","14346","9.57"
"referring","9","16419","9.71"
"refers","6","10453","9.25"
"refill","6","597","6.39"
"refilled","8","240","5.48"
"refinance","9","182","5.20"
"refine","6","763","6.64"
"refined","7","1765","7.48"
"refinement","10","750","6.62"
"refinements","11","234","5.46"
"refiner","7","26","3.26"
"refinery","8","426","6.05"
"refining","8","611","6.42"
"refit","5","368","5.91"
"reflect","7","15241","9.63"
"reflectance","11","112","4.72"
"reflected","9","3966","8.29"
"reflecting","10","3399","8.13"
"reflection","10","4507","8.41"
"reflections","11","1605","7.38"
"reflective","10","1143","7.04"
"reflector","9","883","6.78"
"reflectors","10","282","5.64"
"reflects","8","4325","8.37"
"reflex","6","1291","7.16"
"reflexes","8","708","6.56"
"reflexive","9","203","5.31"
"reflux","6","171","5.14"
"refocusing","10","43","3.76"
"refolded","8","21","3.04"
"reforest","8","14","2.64"
"reforestation","13","60","4.09"
"reform","6","15887","9.67"
"reformed","8","1114","7.02"
"reformation","11","508","6.23"
"reformatory","11","26","3.26"
"reformer","8","182","5.20"
"reformers","9","562","6.33"
"reforming","9","466","6.14"
"reformism","9","41","3.71"
"reforms","7","2865","7.96"
"reformulated","12","208","5.34"
"refract","7","33","3.50"
"refracted","9","63","4.14"
"refraction","10","377","5.93"
"refractive","10","242","5.49"
"refractory","10","179","5.19"
"refrain","7","3280","8.10"
"refrained","9","276","5.62"
"refresh","7","5268","8.57"
"refreshed","9","518","6.25"
"refresher","9","324","5.78"
"refurbishing","12","102","4.62"
"refusal","7","2640","7.88"
"refreshing","10","1837","7.52"
"refreshingly","12","99","4.60"
"refreshment","11","242","5.49"
"refreshments","12","643","6.47"
"refrigerant","11","104","4.64"
"refrigerate","11","444","6.10"
"refrigerated","12","332","5.81"
"refrigerators","13","235","5.46"
"refuel","6","202","5.31"
"refueling","9","355","5.87"
"refrigeration","13","512","6.24"
"refrigerator","12","1845","7.52"
"refuge","6","1883","7.54"
"refugee","7","2180","7.69"
"refugees","8","4213","8.35"
"refund","6","4883","8.49"
"refunded","8","785","6.67"
"refunds","7","1041","6.95"
"refurbish","9","88","4.48"
"refurbished","11","854","6.75"
"refuse","6","14723","9.60"
"refused","7","12300","9.42"
"refuses","7","5379","8.59"
"refusing","8","3539","8.17"
"refutable","9","27","3.30"
"refutation","10","621","6.43"
"refute","6","2254","7.72"
"refuted","7","981","6.89"
"regain","6","1878","7.54"
"rackets","7","141","4.95"
"racking","7","438","6.08"
"racks","5","1449","7.28"
"racquet","7","597","6.39"
"racy","4","149","5.00"
"radar","5","7554","8.93"
"radial","6","977","6.88"
"radiance","8","585","6.37"
"radiant","7","623","6.43"
"radiate","7","442","6.09"
"radiated","8","509","6.23"
"radiates","8","195","5.27"
"radiating","9","362","5.89"
"radiation","9","7722","8.95"
"radiations","10","61","4.11"
"radiator","8","1051","6.96"
"radiators","9","280","5.63"
"radical","7","8075","9.00"
"radicalism","10","174","5.16"
"radicalize","10","5","1.61"
"radically","9","1967","7.58"
"radicals","8","1168","7.06"
"radii","5","261","5.56"
"radio","5","71946","11.18"
"radioactive","11","2740","7.92"
"radioactivity","13","375","5.93"
"radiocarbon","11","85","4.44"
"radiochlorine","13","0","0.00"
"radioed","7","60","4.09"
"radios","6","3446","8.14"
"radish","6","139","4.93"
"radium","6","93","4.53"
"radiogram","9","3","1.10"
"radiograph","10","49","3.89"
"radiography","11","48","3.87"
"radioisotope","12","71","4.26"
"radiology","9","648","6.47"
"radiotherapy","12","65","4.17"
"radius","6","6017","8.70"
"Rafael","6","2750","7.92"
"raffle","6","404","6.00"
"raft","4","841","6.73"
"rafter","6","102","4.62"
"raftered","8","1","0.00"
"rafters","7","303","5.71"
"rafts","5","173","5.15"
"rag","3","3827","8.25"
"ragamuffin","10","32","3.47"
"ragbag","6","2","0.69"
"rage","4","6289","8.75"
"raged","5","272","5.61"
"rages","5","381","5.94"
"ragged","6","1133","7.03"
"raggedness","10","1","0.00"
"ragging","7","191","5.25"
"raging","6","5441","8.60"
"rags","4","1457","7.28"
"ragtag","6","28","3.33"
"ragtime","7","668","6.50"
"raid","4","6762","8.82"
"raided","6","986","6.89"
"raider","6","745","6.61"
"raiders","7","6274","8.74"
"raiding","7","2212","7.70"
"raids","5","1339","7.20"
"rail","4","7339","8.90"
"railhead","8","28","3.33"
"railing","7","700","6.55"
"railroad","8","4755","8.47"
"railroader","10","170","5.14"
"railroading","11","354","5.87"
"railroads","9","1841","7.52"
"railroad's","10","24","3.18"
"rails","5","1880","7.54"
"railway","7","2946","7.99"
"railways","8","1016","6.92"
"rain","4","17801","9.79"
"rainbow","7","6749","8.82"
"raincoat","8","191","5.25"
"raincoats","9","68","4.22"
"raindrop","8","68","4.22"
"raindrops","9","116","4.75"
"rained","6","610","6.41"
"rainfall","8","547","6.30"
"rainier","7","192","5.26"
"raining","7","1159","7.06"
"rainless","8","3","1.10"
"rainproof","9","1","0.00"
"rains","5","1316","7.18"
"rain's","6","98","4.58"
"rainstorm","9","116","4.75"
"rainwater","9","176","5.17"
"rainy","5","1419","7.26"
"raise","5","24837","10.12"
"raised","6","20466","9.93"
"raiser","6","387","5.96"
"raises","6","5744","8.66"
"raisin","6","314","5.75"
"raising","7","8673","9.07"
"raj","3","1417","7.26"
"rajah","5","102","4.62"
"rake","4","919","6.82"
"raked","5","253","5.53"
"rakish","6","31","3.43"
"rakishly","8","4","1.39"
"rallied","7","394","5.98"
"rallies","7","897","6.80"
"rally","5","5455","8.60"
"rallying","8","591","6.38"
"Ralph","5","8569","9.06"
"ram","3","65790","11.09"
"Ramadan","7","1092","7.00"
"ramble","6","735","6.60"
"rambler","7","432","6.07"
"rambles","7","104","4.64"
"rambling","8","1642","7.40"
"ramblings","9","1006","6.91"
"rambunctious","12","120","4.79"
"ramification","12","38","3.64"
"ramifications","13","1521","7.33"
"rammed","6","684","6.53"
"ramming","7","486","6.19"
"ramp","4","2793","7.93"
"rampage","7","1277","7.15"
"rampant","7","1739","7.46"
"rampart","7","455","6.12"
"ramps","5","906","6.81"
"ramrod","6","94","4.54"
"Ramsey","6","1414","7.25"
"ramshackle","10","57","4.04"
"ran","3","30986","10.34"
"ranch","5","3653","8.20"
"rancher","7","570","6.35"
"ranchers","8","798","6.68"
"ranches","7","243","5.49"
"rancho","6","610","6.41"
"rancid","6","617","6.42"
"rancidity","9","15","2.71"
"rancor","6","351","5.86"
"rancorous","9","28","3.33"
"rand","4","7231","8.89"
"Randolph","8","1400","7.24"
"random","6","22335","10.01"
"randomization","13","97","4.57"
"Randy","5","11522","9.35"
"rang","4","1730","7.46"
"range","5","58184","10.97"
"ranged","6","1183","7.08"
"rangelands","10","20","3.00"
"ranger","6","3712","8.22"
"rangers","7","5073","8.53"
"ranges","6","4913","8.50"
"ranging","7","4860","8.49"
"rank","4","9512","9.16"
"ranked","6","3044","8.02"
"ranker","6","29","3.37"
"rankest","7","45","3.81"
"ranking","7","3647","8.20"
"ranks","5","4492","8.41"
"ransack","7","49","3.89"
"ransacked","9","134","4.90"
"ransacking","10","68","4.22"
"ransom","6","825","6.72"
"rant","4","2862","7.96"
"ranted","6","194","5.27"
"Raoul","5","1645","7.41"
"rap","3","5295","8.57"
"rapacious","9","199","5.29"
"rape","4","12684","9.45"
"raped","5","4056","8.31"
"rapes","5","1002","6.91"
"Raphael","7","1849","7.52"
"Raphael's","9","36","3.58"
"rapid","5","9126","9.12"
"rapidity","8","124","4.82"
"rapidly","7","11246","9.33"
"rapier","6","417","6.03"
"raping","6","1107","7.01"
"rapist","6","1433","7.27"
"rapists","7","991","6.90"
"rapped","6","127","4.84"
"rapping","7","238","5.47"
"rapport","7","745","6.61"
"rapprochement","13","76","4.33"
"rapscallion","11","9","2.20"
"rapt","4","132","4.88"
"rapture","7","813","6.70"
"raptures","8","15","2.71"
"rapturous","9","86","4.45"
"Rapunzel","8","74","4.30"
"rare","4","36258","10.50"
"rarebit","7","40","3.69"
"rarefaction","11","6","1.79"
"rarefy","6","0","0.00"
"rarely","6","13743","9.53"
"rarer","5","681","6.52"
"rarified","8","53","3.97"
"rarity","6","2293","7.74"
"rascal","6","321","5.77"
"rascals","7","480","6.17"
"rash","4","2285","7.73"
"rasp","4","122","4.80"
"raspberry","9","674","6.51"
"rasped","6","64","4.16"
"rasping","7","45","3.81"
"rasps","5","10","2.30"
"rat","3","7399","8.91"
"ratchet","7","339","5.83"
"rate","4","87417","11.38"
"rateable","8","3","1.10"
"rated","5","9139","9.12"
"ratepayer","9","3","1.10"
"rates","5","37473","10.53"
"rather","6","146049","11.89"
"ratification","12","1060","6.97"
"ratified","8","1161","7.06"
"ratify","6","449","6.11"
"rating","6","12090","9.40"
"ratings","7","8508","9.05"
"ratio","5","12435","9.43"
"ration","6","551","6.31"
"rational","8","11109","9.32"
"rationale","9","2666","7.89"
"rationalist","11","208","5.34"
"rationalism","11","220","5.39"
"rationalistic","13","32","3.47"
"rationality","11","1003","6.91"
"rationalization","15","551","6.31"
"rationalizations","16","309","5.73"
"rationalize","11","886","6.79"
"rationalized","12","277","5.62"
"rationally","10","1091","6.99"
"rationed","8","98","4.58"
"rationing","9","339","5.83"
"rations","7","467","6.15"
"ratios","6","2375","7.77"
"rats","4","7486","8.92"
"rat's","5","729","6.59"
"rattail","7","3","1.10"
"rattan","6","115","4.74"
"rattle","6","1234","7.12"
"rattlebrained","13","0","0.00"
